id,immobile,sex,group,treatment
female_g10_B1,150.0,female,10,B1
female_g10_B2,129.26666666666668,female,10,B2
female_g10_B3,130.53333333333333,female,10,B3
female_g10_KET,145.5,female,10,KET
female_g11_B1,129.1,female,11,B1
female_g11_B2,130.53333333333333,female,11,B2
female_g11_CON,146.0,female,11,CON
female_g11_KET,148.7,female,11,KET
female_g12_B1,129.3,female,12,B1
female_g12_B3,130.43333333333334,female,12,B3
female_g12_CON,145.1,female,12,CON
female_g12_KET,149.53333333333333,female,12,KET
female_g13_B2,129.9,female,13,B2
female_g13_B3,129.43333333333334,female,13,B3
female_g13_CON,145.06666666666666,female,13,CON
female_g13_KET,147.63333333333333,female,13,KET
female_g14_B1,148.83333333333334,female,14,B1
female_g14_B2,130.16666666666666,female,14,B2
female_g14_B3,129.73333333333332,female,14,B3
female_g14_None,144.2,female,14,None
female_g1_B1,128.76666666666668,female,1,B1
female_g1_B2,129.4,female,1,B2
female_g1_CON,146.83333333333334,female,1,CON
female_g1_KET,143.9,female,1,KET
female_g2_B1,130.6,female,2,B1
female_g2_B3,128.06666666666666,female,2,B3
female_g2_CON,144.23333333333332,female,2,CON
female_g2_KET,147.16666666666666,female,2,KET
female_g3_B2,130.96666666666667,female,3,B2
female_g3_B3,126.56666666666666,female,3,B3
female_g3_CON,146.53333333333333,female,3,CON
female_g3_KET,143.8,female,3,KET
female_g4_B1,129.5,female,4,B1
female_g4_B2,128.23333333333332,female,4,B2
female_g4_B3,146.66666666666666,female,4,B3
female_g4_CON,146.86666666666667,female,4,CON
female_g5_B1,129.16666666666666,female,5,B1
female_g5_B2,147.13333333333333,female,5,B2
female_g5_B3,145.46666666666667,female,5,B3
female_g5_KET,127.56666666666666,female,5,KET
female_g6_B1,130.33333333333334,female,6,B1
female_g6_B2,126.5,female,6,B2
female_g6_CON,148.16666666666666,female,6,CON
female_g6_KET,145.36666666666667,female,6,KET
female_g7_B1,129.2,female,7,B1
female_g7_B3,129.26666666666668,female,7,B3
female_g7_CON,148.16666666666666,female,7,CON
female_g7_KET,147.1,female,7,KET
female_g8_B2,129.0,female,8,B2
female_g8_B3,129.86666666666667,female,8,B3
female_g8_CON,147.63333333333333,female,8,CON
female_g8_KET,145.36666666666667,female,8,KET
female_g9_B1,145.2,female,9,B1
female_g9_B2,129.63333333333333,female,9,B2
female_g9_B3,129.3,female,9,B3
female_g9_CON,147.1,female,9,CON
male_g10_B1,98.7,male,10,B1
male_g10_B2,98.23333333333333,male,10,B2
male_g10_B3,126.83333333333333,male,10,B3
male_g10_KET,123.5,male,10,KET
male_g11_B1,98.1,male,11,B1
male_g11_B2,97.93333333333334,male,11,B2
male_g11_CON,122.6,male,11,CON
male_g11_KET,126.93333333333334,male,11,KET
male_g12_B1,97.46666666666667,male,12,B1
male_g12_B3,96.16666666666667,male,12,B3
male_g12_CON,123.8,male,12,CON
male_g12_KET,125.36666666666666,male,12,KET
male_g13_B2,84.86666666666666,male,13,B2
male_g13_B3,84.16666666666667,male,13,B3
male_g13_CON,123.3,male,13,CON
male_g13_KET,127.46666666666667,male,13,KET
male_g14_B2,126.7,male,14,B2
male_g14_B3,122.53333333333333,male,14,B3
male_g1_B1,100.16666666666667,male,1,B1
male_g1_B2,97.43333333333334,male,1,B2
male_g1_CON,120.73333333333333,male,1,CON
male_g1_KET,120.43333333333334,male,1,KET
male_g2_B1,100.73333333333333,male,2,B1
male_g2_B3,98.96666666666667,male,2,B3
male_g2_CON,122.56666666666666,male,2,CON
male_g2_KET,125.9,male,2,KET
male_g3_B2,99.36666666666666,male,3,B2
male_g3_B3,97.03333333333333,male,3,B3
male_g3_CON,122.96666666666667,male,3,CON
male_g3_KET,127.8,male,3,KET
male_g4_B1,100.43333333333334,male,4,B1
male_g4_B2,98.26666666666667,male,4,B2
male_g4_B3,126.5,male,4,B3
male_g4_CON,123.56666666666666,male,4,CON
male_g5_B1,100.86666666666666,male,5,B1
male_g5_B2,98.5,male,5,B2
male_g5_B3,126.2,male,5,B3
male_g5_KET,122.63333333333334,male,5,KET
male_g6_B1,99.16666666666667,male,6,B1
male_g6_B2,97.4,male,6,B2
male_g6_CON,122.56666666666666,male,6,CON
male_g6_KET,127.86666666666666,male,6,KET
male_g7_B1,97.83333333333333,male,7,B1
male_g7_B3,96.7,male,7,B3
male_g7_CON,122.7,male,7,CON
male_g7_KET,126.66666666666667,male,7,KET
male_g8_B2,99.46666666666667,male,8,B2
male_g8_B3,96.76666666666667,male,8,B3
male_g8_CON,127.46666666666667,male,8,CON
male_g8_KET,122.63333333333334,male,8,KET
male_g9_B1,99.83333333333333,male,9,B1
male_g9_B2,97.36666666666666,male,9,B2
male_g9_B3,126.06666666666666,male,9,B3
male_g9_CON,122.3,male,9,CON
