id,time_in_center_area,group,treatment,sex
g19-b2-1,1.87,19,b2,f
g2-b1-1,1.5,2,b1,m
g13-b2-1,2.9,13,b2,f
g6-red-1,2.9,6,red,m
g8-b2-1,1.27,8,b2,m
g23-b1-1,5.6,23,b1,f
g1-bla-2,0.57,1,bla,m
g14-red-1,3.43,14,red,f
g21-bla-1,0.0,21,bla,f
g11-red-1,0.0,11,red,m
g2-bla-1,3.9,2,bla,m
g8-b1-1,0.0,8,b1,m
g17-red-1,4.3,17,red,f
g12-b1-1,0.63,12,b1,m
g17-bla-1,0.67,17,bla,f
g8-red-1,1.77,8,red,m
g22-red-1,0.07,22,red,f
g18-b1-1,1.77,18,b1,f
g6-b1-1,1.77,6,b1,m
g11-b2-1,1.93,11,b2,m
g6-b2-1,0.73,6,b2,m
g18-b2-1,4.93,18,b2,f
g4-b2-1,1.8,4,b2,m
g5-b1-1,1.37,5,b1,m
g17-b1-1,0.0,17,b1,f
g10-b1-1,4.63,10,b1,m
g13-b1-1,4.03,13,b1,f
g20-b1-1,1.87,20,b1,f
g11-b1-1,0.0,11,b1,m
g16-b1-1,0.3,16,b1,f
g17-b2-1,3.57,17,b2,f
g9-b1-1,0.7,9,b1,m
g16-red-1,2.4,16,red,f
g4-b2-2,0.43,4,b2,m
g20-b2-1,0.9,20,b2,f
g21-b1-1,3.27,21,b1,f
g22-b1-1,4.5,22,b1,f
g1-b2-1,0.0,1,b2,m
g14-bla-1,0.13,14,bla,f
g5-b2-1,1.33,5,b2,m
g15-b1-1,2.73,15,b1,f
g16-b2-1,0.43,16,b2,f
g8-bla-1,3.97,8,bla,m
g19-red-1,1.7,19,red,f
g21-red-1,1.1,21,red,f
g13-red-1,3.2,13,red,f
g24-bla-1,2.83,24,bla,f
g18-red-1,10.0,18,red,f
g9-b2-1,0.1,9,b2,m
g10-b2-1,1.33,10,b2,m
g22-bla-1,0.37,22,bla,f
g24-red-1,0.0,24,red,f
g21-b2-1,1.93,21,b2,f
g7-b2-1,1.87,7,b2,m
g22-b2-1,2.83,22,b2,f
g15-red-1,1.9,15,red,f
g1-red-1,0.93,1,red,m
g15-b2-1,0.3,15,b2,f
g2-red-2,1.3,2,red,m
g16-bla-1,0.5,16,bla,f
g3-b1-1,0.23,3,b1,m
g12-bla-1,0.23,12,bla,m
g3-bla-1,0.0,3,bla,m
g13-bla-1,0.33,13,bla,f
g23-b2-1,2.07,23,b2,f
g7-b1-1,0.57,7,b1,m
g19-bla-1,3.2,19,bla,f
g19-b1-1,2.3,19,b1,f
g15-bla-1,3.9,15,bla,f
g4-b1-1,0.13,4,b1,m
g20-bla-1,3.27,20,bla,f
g5-b1-2,4.53,5,b1,m
g23-red-1,3.63,23,red,f
g9-bla-1,1.5,9,bla,m
g4-bla-1,2.77,4,bla,m
g7-red-1,1.67,7,red,m
g1-bla-1,1.3,1,bla,m
g6-bla-1,3.03,6,bla,m
g9-red-1,0.3,9,red,m
g24-b2-1,0.8,24,b2,f
g3-b2-1,2.6,3,b2,m
g10-bla-1,1.87,10,bla,m
g3-red-1,3.37,3,red,m
g14-b1-1,1.73,14,b1,f
g18-bla-1,4.17,18,bla,f
g23-bla-1,0.2,23,bla,f
g20-red-1,0.0,20,red,f
g14-b2-1,0.0,14,b2,f
g7-bla-1,4.47,7,bla,m
g5-red-1,0.0,5,red,m
g2-red-1,4.47,2,red,m
g11-bla-1,1.07,11,bla,m
g12-b2-1,0.0,12,b2,m
g24-b1-1,0.83,24,b1,f
g12-red-1,0.0,12,red,m
g10-red-1,0.37,10,red,m
